,Name,Date,Developer,Publisher,Genre,Price,Langs,DLC,Mature,Single,Score
791,Love Delivery,"21 Dec, 2021",Onfire Games,Onfire Games,"['Indie', 'Early Access']",40.95,"['English', 'Korean']",0,1,1.0,0.8984383492342973
792,Winds of Change,"21 Aug, 2019",Klace,Klace,"['Adventure', 'Indie', 'RPG']",73.95,['English'],1,0,1.0,0.894337245777406
793,Master of Magic Classic,"1 Sep, 1994",SimTex,Slitherine Ltd.,['Strategy'],21.95,['English'],1,0,1.0,0.8978055667947872
794,Putt-Putt® Saves The Zoo,"31 Dec, 1995",Humongous Entertainment,Humongous Entertainment,"['Adventure', 'Casual']",25.95,"['English', 'French', 'German', 'Dutch']",0,0,1.0,0.8920614872371931
795,Zombie Estate 2,"13 Jan, 2017",Sad Spaghetti Entertainment,Sad Spaghetti Entertainment,"['Action', 'Indie']",18.5,['English'],0,0,1.0,0.9006736996689908
796,Deathsmiles,"10 Mar, 2016","CAVE Interactive CO.,LTD.",Degica,"['Action', 'Indie']",73.95,"['English', 'Japanese']",1,0,1.0,0.8969133241554419
797,Critters for Sale,"3 Jun, 2021",Sonoshee,Sonoshee,"['Action', 'Adventure', 'Indie']",36.95,"['English', 'Spanish - Spain', 'Hungarian', 'Portuguese', 'Portuguese - Brazil', 'Russian', 'Simplified Chinese', 'Spanish - Latin America', 'Traditional Chinese']",0,1,1.0,0.8929748354652307
798,NKODICE,"28 May, 2021",KSYM,KSYM,['Casual'],36.95,['English'],0,0,1.0,0.8922833214135716
799,Sam & Max Hit the Road,"1 Jan, 1993",Lucasfilm,Lucasfilm,['Adventure'],21.95,"['English', 'French', 'Italian', 'German', 'Spanish - Spain']",0,0,1.0,0.8928881720101176
800,EverStopped,"27 Sep, 2019",MaxEstLa,MaxEstLa,"['Action', 'Casual', 'Indie']",10.95,"['English', 'French', 'German', 'Korean']",0,0,1.0,0.8941526423276266
801,Motor Town: Behind The Wheel,"17 Dec, 2021",P3 Games,P3 Games,"['Casual', 'Indie', 'Racing', 'Simulation', 'Early Access']",55.95,"['English', 'Czech', 'French']",0,0,1.0,0.89391411394529
802,ElecHead,"14 Oct, 2021",NamaTakahashi,NamaTakahashi,"['Action', 'Adventure', 'Indie']",36.95,"['English', 'Japanese', 'French', 'Italian', 'German', 'Spanish - Spain', 'Arabic', 'Ukrainian', 'Dutch', 'Greek', 'Swedish', 'Spanish - Latin America', 'Thai', 'Czech', 'Danish', 'Turkish', 'Norwegian', 'Hungarian', 'Finnish', 'Bulgarian', 'Vietnamese', 'Portuguese', 'Portuguese - Brazil', 'Polish', 'Romanian', 'Russian', 'Simplified Chinese', 'Traditional Chinese', 'Korean']",1,0,1.0,0.8915625756819932
803,Golden Treasure: The Great Green,"17 Jun, 2019",Dreaming Door Studios,Dreaming Door Studios,"['Adventure', 'Indie', 'RPG', 'Simulation']",73.95,['English'],1,1,1.0,0.8883472050147652
804,Evil God Korone,"7 Nov, 2021",Vaka Game Magazine,Vaka Game Magazine,"['Adventure', 'Indie']",21.95,"['English', 'Japanese']",0,0,1.0,0.89443698093886
805,Narcissu 10th Anniversary Anthology Project,"27 Jan, 2016",stage-nana,Sekai Project,"['Casual', 'Indie']",10.95,"['English', 'Japanese']",1,0,1.0,0.9042566387042684
806,Higurashi When They Cry Hou - Ch. 5 Meakashi,"28 Apr, 2017",07th Expansion,MangaGamer,['Adventure'],29.5,"['English', 'Japanese']",0,0,1.0,0.8897363662231154
807,DX-Ball 2: 20th Anniversary Edition,"21 Nov, 2018",Longbow Games,Longbow Games,"['Casual', 'Indie']",25.95,['English'],1,0,1.0,0.8956889398859101
808,Spice&Wolf VR2,"9 Dec, 2020",SpicyTails,SpicyTails,['Casual'],92.95,"['English', 'Simplified Chinese', 'Traditional Chinese', 'Japanese']",0,0,1.0,0.8918358552862675
809,MECHANICA: A Ballad of the Rabbit and Mercury,"17 Sep, 2021",Loser/s,OTAKU Plan,"['Adventure', 'Indie', 'RPG']",73.95,"['English', 'Japanese', 'Simplified Chinese']",0,1,1.0,0.8955351241567038
810,Airtight City 密闭之城1.0,"8 Jul, 2021",豆丁儿独立游戏工作室,Little Bean Games,"['Action', 'Adventure', 'Indie', 'RPG', 'Early Access']",7.25,"['English', 'Simplified Chinese', 'Italian']",0,1,1.0,0.8903921182259452
811,"Save Me, Sakuya-san!","2 Jun, 2021",Sigyaad Team,Sigyaad Team,['Casual'],10.95,"['English', 'Japanese']",1,1,1.0,0.892508184498006
812,Paper Beast,"24 Jul, 2020",Pixel Reef,Pixel Reef,"['Adventure', 'Casual', 'Indie', 'Simulation']",73.95,"['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Simplified Chinese', 'Japanese', 'Korean', 'Russian', 'Traditional Chinese']",1,0,1.0,0.8922833214135716
813,Card Hog,"23 Jun, 2020",SnoutUp,SnoutUp,"['Casual', 'Indie', 'RPG', 'Strategy', 'Early Access']",14.5,"['English', 'Polish', 'German', 'Portuguese - Brazil', 'Russian']",0,0,1.0,0.8914779801549726
814,Chroma Lab,"22 Aug, 2017",Sean Tann,Sean Tann,"['Casual', 'Indie', 'Simulation']",18.5,['English'],0,0,1.0,0.8855045454905568
815,Spirits Abyss,"27 Aug, 2020",Anthony Case,Caiysware,"['Action', 'Indie']",36.95,['English'],0,0,1.0,0.8866326954695068
816,Voxelgram,"7 Nov, 2019",Procedural Level,Procedural Level,"['Casual', 'Indie', 'Strategy']",36.95,"['English', 'Polish', 'French', 'German', 'Japanese', 'Korean', 'Portuguese - Brazil', 'Russian', 'Simplified Chinese', 'Spanish - Latin America']",0,0,1.0,0.8886320671808224
817,Lakeview Cabin 2,"30 Oct, 2020",Roope Tamminen,Roope Tamminen,"['Action', 'Indie', 'Strategy', 'Early Access']",36.95,['English'],0,1,1.0,0.8915332735956848
818,Fallen Hero: Rebirth,"15 Mar, 2018",Hosted Games,Hosted Games,"['Adventure', 'Indie', 'RPG']",14.5,['English'],0,0,1.0,0.8876104939224426
819,Pajama Sam 3: You Are What You Eat From Your Head To Your Feet,"1 Apr, 2000",Humongous Entertainment,Humongous Entertainment,"['Adventure', 'Casual']",25.95,"['English', 'Dutch', 'French']",0,0,1.0,0.8828908160741029
820,Secret Little Haven,"27 Feb, 2018",Hummingwarp Interactive,Hummingwarp Interactive,"['Adventure', 'Indie']",18.5,['English'],0,0,1.0,0.8836768860638221
821,TAMASHII,"5 Mar, 2019",Vikintor,Vikintor Interactive,['Indie'],18.5,"['English', 'Portuguese - Brazil']",0,1,1.0,0.8808804607524883
822,My Name is Mayo 2,"17 Nov, 2020",Green Lava Studios,Green Lava Studios,['Simulation'],3.5,['English'],0,0,1.0,0.8792424165767548
823,Mon Bazou,"16 Dec, 2021",SantaGoat,SantaGoat,"['Adventure', 'Racing', 'Simulation', 'Early Access']",43.95,['English'],0,0,1.0,0.8829699599763778
824,Pajama Sam 2: Thunder And Lightning Aren't So Frightening,"2 Oct, 1998",Humongous Entertainment,Humongous Entertainment,"['Adventure', 'Casual']",25.95,"['English', 'German', 'Dutch', 'French']",0,0,1.0,0.8805354960067453
825,Slice of Sea,"11 Nov, 2021",Mateusz Skutnik,Mateusz Skutnik,"['Adventure', 'Indie']",92.95,"['English', 'Polish', 'French', 'Spanish - Spain', 'Spanish - Latin America', 'German', 'Portuguese - Brazil', 'Dutch', 'Italian', 'Swedish', 'Czech', 'Hungarian', 'Simplified Chinese', 'Traditional Chinese', 'Portuguese', 'Romanian', 'Finnish', 'Russian', 'Greek', 'Turkish', 'Japanese', 'Korean']",0,0,1.0,0.8769455384972478
826,Wide Ocean Big Jacket,"4 Feb, 2020",Turnfollow,Tender Claws,"['Casual', 'Indie']",29.5,['English'],0,0,1.0,0.8711809791892061
827,ALTDEUS: Beyond Chronos,"18 Feb, 2021",MyDearest Inc.,MyDearest Inc.,['Adventure'],110.95,"['English', 'Japanese', 'French', 'German', 'Simplified Chinese']",1,0,1.0,0.8702188746934183
828,Disney's Treasure Planet: Battle of Procyon,"31 Oct, 2002",Barking Dog Studios,Disney,"['Action', 'Adventure', 'Strategy']",36.95,"['English', 'French', 'Italian', 'German', 'Russian']",0,0,1.0,0.8789085173798492
829,HGFaceDD,"3 Mar, 2020",HG重工,HG重工,['Early Access'],44.0,"['English', 'Simplified Chinese']",0,0,,0.8726067620598139
830,Kathy Rain: Director's Cut,"26 Oct, 2021",Clifftop Games,Raw Fury,"['Adventure', 'Indie']",55.95,"['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Polish', 'Portuguese - Brazil', 'Russian']",1,0,1.0,0.8759683550936314
831,Intergalactic Fishing,"21 Apr, 2020",Boat Anchor Games,Boat Anchor Games,"['Indie', 'RPG', 'Simulation', 'Sports']",55.95,['English'],0,0,1.0,0.8714111629106782
832,封神榜2022,"6 Jan, 2022",FC Maker,FC Maker,"['Adventure', 'Casual', 'Indie', 'RPG', 'Strategy']",36.95,"['English', 'Simplified Chinese']",0,0,1.0,0.8767974448472315
833,The Black Heart,"21 Oct, 2021",Andrés Borghi,Saibot Studios,"['Action', 'Adventure', 'Indie']",36.95,"['English', 'Spanish - Latin America', 'Spanish - Spain']",1,0,1.0,0.8734766913466303
834,TAISHO x ALICE epilogue,"24 Jun, 2021",Primula,pencil,['Adventure'],36.95,"['English', 'Simplified Chinese', 'Japanese']",1,0,1.0,0.8739471719407954
835,Burger Shop 2,"28 Jul, 2009",GoBit Games,GoBit Games,"['Action', 'Casual', 'Simulation']",25.95,"['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Dutch', 'Japanese', 'Portuguese', 'Russian', 'Swedish']",0,0,1.0,0.8733460394591572
836,Xuan-Yuan Sword: Dance of the Maple Leaves,"6 Jan, 1995",DOMO Studio,SOFTSTAR ENTERTAINMENT,['RPG'],18.5,"['English', 'Simplified Chinese', 'Traditional Chinese']",1,0,1.0,0.8717938107656875
837,Space Gladiators,"10 Mar, 2021",Blobfish,Blobfish,"['Action', 'Indie']",55.95,"['English', 'French', 'Portuguese - Brazil', 'Russian', 'Simplified Chinese', 'Traditional Chinese', 'Polish', 'Spanish - Spain', 'Turkish']",0,0,1.0,0.8783937920185156
838,qop 4,"19 Dec, 2018",Quiet River,Quiet River,"['Casual', 'Indie']",3.5,"['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Arabic', 'Bulgarian', 'Portuguese - Brazil', 'Hungarian', 'Vietnamese', 'Greek', 'Danish', 'Spanish - Latin America', 'Traditional Chinese', 'Simplified Chinese', 'Korean', 'Dutch', 'Norwegian', 'Polish', 'Portuguese', 'Romanian', 'Russian', 'Thai', 'Turkish', 'Ukrainian', 'Finnish', 'Czech', 'Swedish', 'Japanese']",0,0,1.0,0.8743141714640699
839,Isolomus,"4 Dec, 2020",Michael Rfdshir,Michael Rfdshir,"['Adventure', 'Casual', 'Indie']",3.5,"['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Arabic', 'Dutch', 'Japanese', 'Korean', 'Polish', 'Portuguese', 'Russian', 'Simplified Chinese', 'Spanish - Latin America', 'Thai', 'Traditional Chinese', 'Turkish']",0,1,1.0,0.8678930945163346
840,Sugar * Style,"30 Apr, 2021",Smee,NekoNyan Ltd.,['Casual'],110.95,"['English', 'Japanese']",0,1,1.0,0.8758379431402151
841,Freddi Fish 2: The Case of the Haunted Schoolhouse,"29 Mar, 1996",Humongous Entertainment,Humongous Entertainment,"['Adventure', 'Casual']",25.95,"['English', 'French', 'German', 'Dutch', 'Russian']",0,0,1.0,0.8777794208633605
842,Corona Blossom Vol.2 The Truth From Beyond,"26 Oct, 2016",Frontwing,Frontwing USA,"['Adventure', 'Casual']",36.95,"['English', 'Japanese', 'Simplified Chinese']",1,1,1.0,0.8714745349191357
843,Gachi Finder 3000,"8 Jan, 2019",Toka,AllianceInFaith,"['Casual', 'Indie', 'Strategy']",3.5,['English'],0,1,1.0,0.8736479735223055
844,I accidentally restarted the USSR,"30 Jun, 2020",Bogdan Rosca,Bogdan Rosca,"['Action', 'Adventure']",3.5,['English'],0,0,1.0,0.874828765683877
845,Seven Kingdoms: Ancient Adversaries,"8 Jun, 1998",Enlight Software Limited,Enlight Software Limited,['Strategy'],21.95,['English'],0,0,1.0,0.8596196483322203
846,Meridian 157: Chapter 3,"29 Jul, 2021",NovaSoft Interactive Ltd.,NovaSoft Interactive Ltd.,"['Adventure', 'Casual']",14.5,"['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Japanese', 'Portuguese', 'Russian', 'Simplified Chinese']",0,0,1.0,0.865407588781193
847,TAISHO x ALICE episode 3,"3 Mar, 2021",Primula,pencil,['Adventure'],73.95,"['English', 'Simplified Chinese', 'Japanese']",0,0,1.0,0.8703341315178578
848,Quickscoper Doge: The Dank Illuminati Memes,"6 Jun, 2020",xTyler73,xTyler73,"['Action', 'Adventure', 'Indie']",14.5,['English'],0,0,1.0,0.8620654171536914
849,Suit for Hire,"31 Aug, 2021",Godmode Interactive,Godmode Interactive,"['Action', 'Indie', 'Early Access']",55.95,['English'],0,1,1.0,0.856989375756534
850,《Rail of Möbius》,"31 Aug, 2021",PHOSEPO,PHOSEPO,"['Adventure', 'Casual', 'Free to Play', 'Indie']",92.95,"['English', 'Traditional Chinese']",1,0,1.0,0.8911292137225229
851,Hourglass,"22 Oct, 2021",Cyberwave,Cyberwave,"['Adventure', 'Indie']",92.95,"['English', 'German', 'French', 'Italian', 'Spanish - Spain', 'Portuguese - Brazil', 'Simplified Chinese', 'Japanese', 'Russian', 'Traditional Chinese', 'Korean']",0,0,1.0,0.878132527144531
852,Card Survival: Tropical Island,"20 Aug, 2021",WinterSpring Games,WinterSpring Games,"['Adventure', 'Indie', 'Simulation', 'Strategy', 'Early Access']",36.95,['English'],0,0,1.0,0.8615331566673634
853,Mail Mole + 'Xpress Deliveries,"4 Mar, 2021",Talpa Games,Undercoders,"['Action', 'Adventure', 'Casual', 'Indie']",55.95,"['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Russian']",1,0,1.0,0.8655351638742482
854,Landlord of the Woods,"17 Mar, 2021",Madison Karrh,Madison Karrh,"['Adventure', 'Casual', 'Indie']",3.5,['English'],0,0,1.0,0.8641628455354035
855,Blind Drive,"10 Mar, 2021",Lo-Fi People,Lo-Fi People,"['Action', 'Indie']",36.95,"['English', 'German', 'French', 'Spanish - Spain', 'Japanese', 'Russian', 'Simplified Chinese']",0,0,1.0,0.8596662576860615
856,Glad Valakas: Cyberban,"29 Jun, 2019",Nozhin games studio,Nozhin games studio,"['Action', 'Casual', 'Indie']",10.95,"['English', 'Russian']",0,1,1.0,0.8627648064810488
857,Antonball Deluxe,"5 Mar, 2021",Summitsphere,Proponent Games,"['Action', 'Adventure', 'Casual', 'Indie']",55.95,['English'],1,0,1.0,0.867770344891797
858,Himno - The Silent Melody,"20 Oct, 2021",David Moralejo Sánchez,GrabTheGames,"['Action', 'Adventure', 'RPG', 'Early Access']",29.95,"['English', 'Spanish - Spain', 'French', 'Italian', 'German', 'Japanese', 'Portuguese', 'Portuguese - Brazil', 'Russian', 'Simplified Chinese', 'Spanish - Latin America', 'Turkish', 'Korean']",0,0,1.0,0.8588631745439169
859,Prognostic,"26 Oct, 2021",Steppe Hare Studio,Steppe Hare Studio,"['Adventure', 'Indie', 'Early Access']",25.95,"['English', 'Simplified Chinese', 'Russian']",0,1,1.0,0.8574665592590959
860,It Steals,"22 Jul, 2020",Zeekerss,Zeekerss,"['Action', 'Indie']",18.5,['English'],0,1,1.0,0.8641936117698791
861,GLAD VALAKAS TOWER DEFENCE 2,"7 Mar, 2019",Snkl Studio,Snkl Studio,"['Action', 'Casual', 'Indie', 'Strategy']",3.5,"['English', 'Russian']",1,1,1.0,0.8484364421917833
862,Hypnagogia 無限の夢 Boundless Dreams,"29 Oct, 2021",sodaraptor,RaptorSoft,"['Adventure', 'Indie']",36.95,['English'],0,0,1.0,0.8504830507354503
863,When The Night Comes,"9 Aug, 2021",Lunaris Games,Lunaris Games,"['Casual', 'Indie']",47.95,['English'],0,1,1.0,0.8632741150911187
864,Duck Creator,"3 Nov, 2021",Weakfish Studio,Weakfish Studio,"['Casual', 'Indie', 'Simulation']",3.5,['English'],0,0,1.0,0.842764759366096
865,Rum & Gun,"1 May, 2020",Borington,Borington,"['Action', 'Adventure', 'Indie', 'RPG', 'Early Access']",18.5,['English'],0,0,1.0,0.8588050076167583
866,Neko Navy,"14 Jun, 2017",DeathMofuMofu,Fruitbat Factory,"['Action', 'Indie']",40.95,"['English', 'Japanese', 'Korean', 'Simplified Chinese']",1,0,1.0,0.8624315111057211
867,Toaster Jam,"14 Nov, 2018",SnoutUp,SnoutUp,"['Casual', 'Indie']",7.25,['English'],0,0,1.0,0.8632741150911187
868,Mini Words - minimalist puzzle,"24 Oct, 2019",Mens Sana Interactive,Mens Sana Interactive,"['Casual', 'Indie']",7.25,['English'],0,0,1.0,0.8341434485002673
869,EXA: The Infinite Instrument,"14 Jan, 2020",Aesthetic Interactive,Aesthetic Interactive,"['Casual', 'Indie', 'Audio Production']",55.95,['English'],0,0,1.0,0.852455403699586
870,Sam & Max: Beyond Time and Space,"8 Dec, 2021",Skunkape Games,Skunkape Games,"['Adventure', 'Indie']",73.95,"['English', 'French', 'Italian', 'German', 'Spanish - Spain']",1,0,1.0,0.8542989806300388
871,Henchman Story,"14 Oct, 2021",Silken Sail Entertainment,Silken Sail Entertainment,"['Adventure', 'Indie']",55.95,['English'],1,0,1.0,0.8577300448649923
872,The Kotonoha Sisters and the Legend of Lysant Island,"3 Jun, 2021",DeskClub Games,DeskClub Games,"['Action', 'Adventure', 'Indie', 'RPG']",62.95,"['English', 'Japanese']",1,0,1.0,0.8459625340269792
873,Chatventures,"14 Feb, 2020",Sokpop Collective,Sokpop Collective,"['Indie', 'Massively Multiplayer', 'RPG']",10.95,['English'],0,0,0.0,0.8452732601517137
874,Cross Maid,"20 Aug, 2021",双叶小组,双叶小组,"['Adventure', 'Casual', 'Indie']",10.95,"['English', 'Simplified Chinese']",0,1,1.0,0.8445721741597063
875,iB Cricket,"25 Oct, 2020",ProYuga Advanced Technologies Ltd,ProYuga Advanced Technologies Ltd,"['Casual', 'Indie', 'Simulation', 'Sports', 'Strategy', 'Early Access']",110.95,['English'],0,0,1.0,0.8554788890535564
876,Tex Murphy: Under a Killing Moon,"31 Oct, 1994",Access Software,Nightdive Studios,['Adventure'],36.95,['English'],0,0,1.0,0.8501861651633452
877,Draft of Darkness,"30 Jul, 2021",Crawly Games,Crawly Games,"['Indie', 'RPG', 'Strategy', 'Early Access']",36.95,['English'],0,1,1.0,0.8459625340269792
878,Tres-Bashers,"30 Sep, 2021",ondydev,ondydev,"['Action', 'Adventure', 'Indie']",36.95,['English'],0,0,1.0,0.8470484091291908
879,Teacup,"23 Sep, 2021",Smarto Club,Whitethorn Games,"['Adventure', 'Casual', 'Indie']",36.95,"['English', 'French', 'German', 'Japanese', 'Portuguese - Brazil', 'Russian', 'Simplified Chinese', 'Spanish - Latin America']",1,0,1.0,0.875903065826397
880,The Zodiac Trial,"21 Jan, 2021",Themisian,Themisian,['Indie'],55.95,['English'],0,0,1.0,0.8477673602306206
881,Brickochet,"4 Sep, 2017",Graham Garven,Graham Garven,"['Action', 'Casual', 'Indie']",10.95,['English'],0,0,1.0,0.8498473942822354
882,RollingSky2,"31 Mar, 2020",Cheetah Mobile Inc.,"Rising Win Tech. CO., LTD","['Action', 'Casual', 'Racing']",47.95,"['English', 'Simplified Chinese', 'Traditional Chinese', 'Japanese', 'Italian', 'Russian', 'Korean', 'French', 'German', 'Dutch', 'Spanish - Latin America']",1,0,1.0,0.8448088750217057
883,The Zwuggels - A Beach Holiday Adventure for Kids,"20 Jul, 2017",Ploosh GmbH,Ploosh GmbH,"['Adventure', 'Casual', 'Indie']",,"['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Polish', 'Portuguese - Brazil', 'Russian']",0,0,1.0,0.8448088750217057
884,Svoboda 1945: Liberation,"3 Aug, 2021",Charles Games,Charles Games,"['Adventure', 'Indie']",58.95,"['English', 'Czech', 'German']",0,0,1.0,0.8628049552718569
885,Symphonic Rain,"14 Jun, 2017",KOGADO STUDIO,Degica,['Adventure'],149.95,"['English', 'Traditional Chinese', 'Japanese', 'Simplified Chinese', 'Russian']",0,0,1.0,0.8952701308589057
886,Horizon's Gate,"9 Mar, 2020",Rad Codex,Rad Codex,"['Adventure', 'Indie', 'RPG', 'Strategy']",73.95,['English'],0,0,1.0,0.8956134666491683
887,Heavenly Bodies,"7 Dec, 2021",2pt Interactive,2pt Interactive,"['Action', 'Adventure', 'Indie', 'Simulation']",73.95,"['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Arabic', 'Japanese', 'Korean', 'Portuguese - Brazil', 'Russian', 'Simplified Chinese', 'Spanish - Latin America', 'Traditional Chinese']",0,0,1.0,0.8895302748145926
888,UNREAL LIFE,"19 Nov, 2020",hako life,room6,"['Adventure', 'Indie']",73.95,"['English', 'Japanese', 'French', 'Italian', 'German', 'Spanish - Spain', 'Simplified Chinese', 'Traditional Chinese', 'Korean']",1,0,1.0,0.8982783899418328
889,Harmonia,"22 Sep, 2016",VisualArts/Key,VisualArts,"['Adventure', 'Casual', 'Simulation']",36.95,"['English', 'Japanese', 'Simplified Chinese']",1,0,1.0,0.8930861708223216
890,Racket: Nx,"17 Jul, 2018",One Hamsa,One Hamsa,"['Action', 'Indie', 'Sports']",73.95,['English'],0,0,1.0,0.8907663214840418
891,Ark Mobius: Censored Edition,"14 Oct, 2021",YellowDuckWorks,YellowDuckWorks,"['Action', 'Adventure', 'Casual', 'Indie', 'RPG']",25.95,"['English', 'Japanese', 'Simplified Chinese', 'Traditional Chinese']",1,1,1.0,0.8889132290830235
892,Bleed 2,"8 Feb, 2017",Ian Campbell,Ian Campbell,"['Action', 'Indie']",36.95,['English'],0,0,1.0,0.8980152328415694
893,Under Leaves,"27 Apr, 2017",Circus Atos,Circus Atos,"['Casual', 'Indie']",18.5,"['English', 'French', 'German', 'Japanese', 'Korean', 'Russian', 'Simplified Chinese', 'Traditional Chinese']",0,0,1.0,0.8889613962115982
894,VR The Diner Duo,"2 Nov, 2016",Whirlybird Games,Whirlybird Games,"['Casual', 'Indie', 'Simulation']",55.95,['English'],0,0,1.0,0.8859731339377501
895,Escape Goat,"14 Jun, 2012",MagicalTimeBean,MagicalTimeBean,"['Action', 'Indie']",18.5,"['English', 'French', 'Italian', 'German', 'Spanish - Spain']",0,0,1.0,0.9007975131343026
896,Reentry - An Orbital Simulator,"15 Nov, 2018",Wilhelmsen Studios,Wilhelmsen Studios,"['Adventure', 'Indie', 'Simulation', 'Strategy', 'Early Access']",92.95,['English'],0,0,1.0,0.8829239351301299
897,Splasher,"7 Feb, 2017",Splashteam,Dear Villagers,"['Action', 'Indie']",55.95,"['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Portuguese - Brazil', 'Russian', 'Simplified Chinese', 'Japanese']",1,0,1.0,0.8770391157668818
898,Hotel Sowls,"31 Dec, 2019",Studio Sott,Studio Sott,"['Adventure', 'Indie']",18.5,"['English', 'Korean', 'Japanese']",1,0,1.0,0.8937471438495957
899,The Norwood Suite,"2 Oct, 2017",Cosmo D,Alliance,"['Adventure', 'Casual', 'Indie']",36.95,['English'],1,0,1.0,0.8207006260497283
900,Regency Solitaire,"18 May, 2015",Grey Alien Games,Grey Alien Games,['Casual'],36.95,['English'],0,0,1.0,0.8784500079642957
901,Angry Video Game Nerd I & II Deluxe,"29 Oct, 2020",FreakZone Games,Screenwave Media,"['Action', 'Adventure']",55.95,"['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Portuguese', 'Russian']",0,1,1.0,0.879173317649728
902,Zwei: The Ilvard Insurrection,"31 Oct, 2017",Nihon Falcom,XSEED Games,"['Action', 'RPG']",73.95,"['English', 'Japanese']",0,0,1.0,0.8682516681922778
903,Descent,"13 Feb, 1995",Parallax,Interplay Inc.,['Action'],36.95,['English'],0,0,1.0,0.889563220453284
904,Chicken Invaders 4,"6 Jun, 2014",InterAction studios,InterAction studios,"['Action', 'Casual', 'Indie']",18.5,"['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Greek', 'Polish', 'Portuguese', 'Romanian', 'Russian']",1,0,1.0,0.8909086757733432
905,Hexologic,"29 May, 2018",MythicOwl,MythicOwl,"['Casual', 'Indie', 'Strategy']",9.99,"['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Arabic', 'Bulgarian', 'Traditional Chinese', 'Simplified Chinese', 'Czech', 'Danish', 'Finnish', 'Greek', 'Dutch', 'Japanese', 'Korean', 'Norwegian', 'Polish', 'Portuguese', 'Portuguese - Brazil', 'Russian', 'Romanian', 'Swedish', 'Thai', 'Turkish', 'Ukrainian', 'Hungarian']",0,0,1.0,0.8851760242637368
906,tomorrow won't come for those without ██████,"23 May, 2020",etherane,etherane,"['Adventure', 'Indie', 'RPG']",7.25,"['English', 'Russian', 'Korean', 'Portuguese - Brazil']",0,0,1.0,0.8842436490337315
907,Dread X Collection 2,"21 Aug, 2020",DreadXP,DreadXP,"['Action', 'Adventure', 'Indie']",36.95,['English'],0,1,1.0,0.8843352519115583
908,Princess Remedy 2: In A Heap of Trouble,"8 Sep, 2016",Ludosity,Ludosity,"['Action', 'Indie', 'RPG']",18.5,['English'],0,0,1.0,0.8514682286206264
909,Chair F*cking Simulator,"7 Jul, 2020",SoSorrySoft,SoSorrySoft,"['Casual', 'Indie', 'Simulation']",7.25,['English'],0,1,1.0,0.875021670393215
910,GolfTopia,"30 Mar, 2021",MinMax Games Ltd.,MinMax Games Ltd.,"['Indie', 'Simulation', 'Strategy']",73.95,"['English', 'French', 'German', 'Simplified Chinese', 'Traditional Chinese']",0,0,1.0,0.8867287020273292
911,Vermillion,"26 Jul, 2021",Thomas van den Berge,The Aviary,"['Casual', 'Indie', 'Simulation']",73.95,['English'],0,0,1.0,0.8823336290296405
912,Higurashi When They Cry Hou - Ch.4 Himatsubushi,"13 Oct, 2016",07th Expansion,MangaGamer,"['Adventure', 'Casual', 'Indie']",21.95,"['English', 'Japanese']",0,0,1.0,0.8845571706679467
913,弹幕音乐绘 ～风雷幻奏曲～ / Barrage Musical  ~A Fantasy of Tempest~,"7 Oct, 2017",SlimeSmile,SlimeSmile,"['Action', 'Indie']",36.95,"['English', 'Simplified Chinese', 'Traditional Chinese', 'Japanese']",0,0,1.0,0.8840127276110699
914,黑色花与红山羊 / Black Datura & Red Goat,"21 Aug, 2020",Angels Blue Digital Entertainment,Gamera Game,"['Adventure', 'Casual', 'Indie', 'RPG']",29.5,"['English', 'Simplified Chinese']",0,1,1.0,0.8829590898933014
915,Crimson Gray,"14 Jul, 2017",Sierra Lee,Sierra Lee,"['Adventure', 'Indie', 'Simulation']",36.95,['English'],0,1,1.0,0.8809352654958493
916,Astrologaster,"9 May, 2019",Nyamyam,Nyamyam,"['Adventure', 'Casual', 'Indie']",36.95,['English'],1,0,1.0,0.8793347111812744
917,Pro Soccer Online,"15 Nov, 2021",Skywall Studios LLC,Skywall Studios LLC,"['Sports', 'Early Access']",36.95,['English'],0,0,0.0,0.8684000474799853
918,Rogue,"1 Jun, 1985","Epyx, Inc.",Pixel Games UK,"['Adventure', 'RPG', 'Strategy']",10.95,['English'],0,0,1.0,0.8778452086917699
919,HyperRogue,"16 Jan, 2015",Zeno Rogue,Zeno Rogue,['Indie'],36.95,"['English', 'Polish', 'Turkish', 'Czech', 'Russian']",0,0,1.0,0.8663390532051563
920,FoxTail,"1 Mar, 2018",Gingertips Game Studio,Artem Vodoriz,"['Adventure', 'Indie', 'Early Access']",36.95,"['English', 'Russian', 'Ukrainian', 'German', 'Polish']",1,0,1.0,0.8880892340920358
